"Species","Longitude","Latitude"
"Harengula_sp",-37.353722,-4.685184
"Harengula_sp",-35.194618,-5.749984
"Harengula_sp",-32.410556,-3.840556
"Harengula_sp",-34.822819,-7.57775
"Harengula_sp",-35.002275,-8.524552
"Harengula_sp",-35.06528,-8.595834
"Harengula_sp",-35.08333333,-8.75
"Harengula_sp",-35.696344,-9.64657
"Harengula_sp",-35.738262,-9.76166
"Harengula_sp",-38.189,-12.785
"Harengula_sp",-38.9429,-13.8894
"Harengula_sp",-38.978611,-13.372806
"Harengula_sp",-39.04940033,-14.78890038
"Harengula_sp",-39.116665,-16.866667
"Harengula_sp",-29.316667,-20.5
"Harengula_sp",-39.863333,-19.726389
"Harengula_sp",-40.233333,-20.3
"Harengula_sp",-40.752,-20.926
"Harengula_sp",-44.318056,-23.006944
"Harengula_sp",-43.773889,-22.988333
"Harengula_sp",-45.069722,-23.430278
"Harengula_sp",-45.41,-23.76
"Harengula_sp",-41.13167,-22.21611
"Harengula_sp",-45.916668,-24.166666
"Harengula_sp",-43.056944,-22.962222
"Harengula_sp",-46.779722,-24.180278
"Harengula_sp",-42.01805,-22.96889
"Harengula_sp",-41.77306,-22.37111
"Harengula_sp",-47.855278,-24.945
"Harengula_sp",-48.224526,-25.583391
"Harengula_sp",-47.75,-26.116667
"Harengula_sp",-48.583611,-26.183611
"Harengula_sp",-48.55310059,-27.15780067
"Harengula_sp",-49.79999924,-29.36666679
"Harengula_sp",-50.13333511,-29.96666718
"Harengula_sp",-52.176,-32.206
