"fc","rm","tune.args","auc.train","cbi.train","auc.diff.avg","auc.diff.sd","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd","or.mtp.avg","or.mtp.sd","AICc","delta.AICc","w.AIC","ncoef"
"L","1","fc.L_rm.1",0.87506140997298,0.851,0.0788504053058217,0.0659697381787275,0.836069001415354,0.101774948002684,0.5435,0.486137497696554,0.138888888888889,0.210329938733343,0.111111111111111,0.157134840263677,612.432023348104,4.05158873424921,0.0889191569802156,5
"LQ","1","fc.LQ_rm.1",0.874628615877695,0.893,0.081168388095433,0.06835131657549,0.819757342878198,0.111433170079138,0.46625,0.480719859516261,0.166666666666667,0.192450089729875,0.111111111111111,0.157134840263677,618.290164116,9.9097295021453,0.00475243550458433,7
"LQP","1","fc.LQP_rm.1",0.881219952977506,0.818,0.0678453482432848,0.06411883647696,0.849468072662619,0.0917755698331715,0.48925,0.363207355835938,0.138888888888889,0.210329938733343,0,0,615.156240954632,6.77580634077731,0.0227739833919355,7
"LQH","1","fc.LQH_rm.1",0.927604952568107,0.868,0.0264550264550264,0.0187084723822221,0.872145898398662,0.0455638497217013,0.2695,0.311470169786236,0.0555555555555556,0.111111111111111,0.0555555555555556,0.111111111111111,742.622666277841,134.242231663986,4.7693196054895e-30,25
"LQHP","1","fc.LQHP_rm.1",0.929037851937631,0.846,0.0309057873538345,0.0178769495771847,0.874184124644699,0.0513439466182415,0.378,0.269506957238584,0.0833333333333333,0.106380789750704,0,0,683.108105744516,74.7276711306616,3.99833375109356e-17,22
"L","1.5","fc.L_rm.1.5",0.870786106139828,0.924,0.090027020388111,0.0775840290394903,0.830983670795756,0.110967912415926,0.48575,0.459260546966534,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,614.672944463563,6.29250984970815,0.0289991654117516,5
"LQ","1.5","fc.LQ_rm.1.5",0.870177854978887,0.928,0.0890659055729063,0.0844142311008538,0.827012492543075,0.110298492166232,0.4295,0.447736901911528,0.194444444444444,0.319142369252113,0.0833333333333333,0.166666666666667,617.610910994861,9.23047638100661,0.00667442985073527,6
"LQP","1.5","fc.LQP_rm.1.5",0.879766583616989,0.684,0.068920510151166,0.0717499683548469,0.847731047712625,0.0963074435418892,0.48225,0.346455745129639,0.111111111111111,0.222222222222222,0.0277777777777778,0.0555555555555556,617.738469476876,9.35803486302086,0.00626203081604578,7
"LQH","1.5","fc.LQH_rm.1.5",0.92399346130002,0.865,0.0380966027613043,0.0352839311852926,0.879880630709665,0.0395976090266447,0.57775,0.182786533056094,0.166666666666667,0.212761579501408,0.0277777777777778,0.0555555555555556,628.040436014813,19.6600014009579,3.62803602178389e-05,16
"LQHP","1.5","fc.LQHP_rm.1.5",0.925847457627119,0.901,0.0134370869448246,0.0162523151013469,0.891829256880841,0.0273187877762029,0.44775,0.416226200520823,0.0277777777777778,0.0555555555555556,0,0,626.751945523924,18.3715109100688,6.90977244843232e-05,16
"L","2","fc.L_rm.2",0.866314875250026,0.928,0.0926423054278618,0.0781946630222131,0.827775730778678,0.114791949373318,0.471,0.411009326739268,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,617.034028866375,8.65359425252018,0.00890599681487398,5
"LQ","2","fc.LQ_rm.2",0.865817746897334,0.951,0.0912990841141172,0.085935661494924,0.82317875565849,0.114089800564807,0.4445,0.374103818032731,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,620.033546481993,11.653111868138,0.00198767584966703,6
"LQP","2","fc.LQP_rm.2",0.877406686083915,0.633,0.0725232285659699,0.0751691408275906,0.848064416137371,0.0997862930016995,0.55025,0.28862937595932,0.111111111111111,0.222222222222222,0.0833333333333333,0.166666666666667,617.464409304107,9.08397469025238,0.00718168927455612,6
"LQH","2","fc.LQH_rm.2",0.922016645026962,0.876,0.0410657262167948,0.0492576878136266,0.874508720216163,0.0499787279676519,0.58825,0.230661909873882,0.166666666666667,0.212761579501408,0.0555555555555556,0.111111111111111,608.380434613855,0,0.674196745456591,12
"LQHP","2","fc.LQHP_rm.2",0.924031476997579,0.867,0.0138377139114058,0.0128703611287059,0.886618182030857,0.029663145721841,0.5585,0.371180549059349,0.0833333333333333,0.106380789750704,0,0,612.216102630078,3.83566801622351,0.0990562595897311,13
"L","2.5","fc.L_rm.2.5",0.862010328572598,0.888,0.0946239955082991,0.0805153489497859,0.82395953960066,0.117923192722418,0.42875,0.45663579579354,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,619.186416331723,10.8059817178677,0.00303597042056033,5
"LQ","2.5","fc.LQ_rm.2.5",0.861407925980513,0.887,0.09227482035146,0.0893119086272068,0.818485279152191,0.117148354882608,0.3845,0.414587747045182,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,622.25079458899,13.8703599751356,0.000655958330885945,6
"LQP","2.5","fc.LQP_rm.2.5",0.874324490297224,0.659,0.0779848171152519,0.0746414793591498,0.848239873203027,0.102853290216822,0.56425,0.278099952055611,0.111111111111111,0.222222222222222,0.0833333333333333,0.166666666666667,620.237987946909,11.8575533330545,0.00179453387579346,6
"LQH","2.5","fc.LQH_rm.2.5",0.919004632066533,0.898,0.0443789404732662,0.0648987339148068,0.865937642558866,0.0617517381445241,0.47525,0.337278692873811,0.166666666666667,0.212761579501408,0.111111111111111,0.222222222222222,628.702456599074,20.3220219852191,2.60564740650916e-05,15
"LQHP","2.5","fc.LQHP_rm.2.5",0.9213001953422,0.843,0.0177932959804736,0.01560385569902,0.88045963902633,0.0340801787677718,0.5385,0.310506575346374,0.0833333333333333,0.106380789750704,0,0,627.657586627264,19.2771520134087,4.3934559723038e-05,15
"L","3","fc.L_rm.3",0.858840404253079,0.912,0.0969902289909659,0.0833558536871662,0.819940110654923,0.120967673726548,0.425,0.513401077780975,0.166666666666667,0.264497349205291,0.0833333333333333,0.166666666666667,620.938012846679,12.5575782328247,0.00126457090500798,5
"LQ","3","fc.LQ_rm.3",0.858138575990455,0.873,0.0938578329882678,0.0930281059719216,0.814286006714157,0.120406639922612,0.32875,0.439787353918535,0.138888888888889,0.210329938733343,0.0833333333333333,0.166666666666667,624.08778949152,15.7073548776656,0.000261804964349682,6
"LQP","3","fc.LQP_rm.3",0.870850440397235,0.737,0.0835526546654034,0.0744140840158656,0.848555695921208,0.106245274858898,0.58875,0.350992283865804,0.111111111111111,0.222222222222222,0.0833333333333333,0.166666666666667,622.869336200498,14.4889015866427,0.000481461592249919,6
"LQH","3","fc.LQH_rm.3",0.914910633867893,0.929,0.0524363188327816,0.0745518034897505,0.854992045946357,0.0732807928397814,0.3605,0.543994178890424,0.138888888888889,0.210329938733343,0.111111111111111,0.222222222222222,616.655280378098,8.27484576424354,0.0107628360497331,12
"LQHP","3","fc.LQHP_rm.3",0.918027921067715,0.854,0.0178381350083634,0.0294537076945761,0.874090547543016,0.0425875447264915,0.5565,0.291413223218622,0.138888888888889,0.106380789750704,0,0,615.51654951587,7.13611490201538,0.0190194953565739,12
"L","3.5","fc.L_rm.3.5",0.856553613830696,0.916,0.0995757838057027,0.0872167100854011,0.816482144319285,0.123970346580508,0.4275,0.530036791175858,0.222222222222222,0.374055738457855,0.0833333333333333,0.166666666666667,622.30831804105,13.927883427195,0.000637360570968925,5
"LQ","3.5","fc.LQ_rm.3.5",0.856050636909148,0.87,0.0950226729519286,0.0976664535704451,0.810431799838579,0.123339733099901,0.274,0.419532279250755,0.222222222222222,0.374055738457855,0.0833333333333333,0.166666666666667,625.571497678489,17.1910630646344,0.000124679409926756,6
"LQP","3.5","fc.LQP_rm.3.5",0.867633727526874,0.795,0.0890093694073061,0.0741406725729668,0.849330631294522,0.108964927101473,0.59825,0.439277721568789,0.138888888888889,0.277777777777778,0.0833333333333333,0.166666666666667,625.297594747418,16.9171601335636,0.000142978917271314,6
"LQH","3.5","fc.LQH_rm.3.5",0.909366190593162,0.912,0.0578384469320357,0.0812356227552826,0.848608333040905,0.082140382281308,0.38425,0.560919111815599,0.138888888888889,0.210329938733343,0.111111111111111,0.222222222222222,616.882992501376,8.50255788752099,0.00960460846534494,11
"LQHP","3.5","fc.LQHP_rm.3.5",0.911936636605023,0.916,0.0256196558702086,0.0422346681661954,0.869701196617188,0.0529349779556579,0.63925,0.209611346703051,0.111111111111111,0.128300059819917,0.0555555555555556,0.111111111111111,636.61464277917,28.2342081653148,4.98661969728431e-07,15
"L","4","fc.L_rm.4",0.854796118889708,0.919,0.101757787369431,0.0919058007506427,0.813301985004269,0.126422729580575,0.42625,0.56629284238222,0.222222222222222,0.374055738457855,0.0833333333333333,0.166666666666667,623.418654853987,15.0382202401319,0.000365829410946541,5
"LQ","4","fc.LQ_rm.4",0.854594343264203,0.879,0.0966709946076195,0.101426131075393,0.807618638219228,0.126011127206598,0.25425,0.46040082174847,0.222222222222222,0.374055738457855,0.0833333333333333,0.166666666666667,626.821685998232,18.4412513843769,6.6729795499522e-05,6
"LQP","4","fc.LQP_rm.4",0.865060357230586,0.846,0.0945767195767196,0.0734456882647475,0.850778152086185,0.111543407027652,0.606,0.468901553278155,0.138888888888889,0.277777777777778,0.0833333333333333,0.166666666666667,624.427796119337,16.0473615054824,0.000220874905271678,5
"LQH","4","fc.LQH_rm.4",0.90414049432104,0.914,0.0590198578407864,0.082452993426591,0.848234024634172,0.0851986623867918,0.4435,0.533250722768693,0.138888888888889,0.210329938733343,0.111111111111111,0.222222222222222,625.462878278146,17.0824436642913,0.000131637959369746,12
"LQHP","4","fc.LQHP_rm.4",0.905356996642921,0.898,0.0332491139418184,0.0494547911149055,0.865095448643717,0.0597475513048189,0.66775,0.139772135992837,0.111111111111111,0.128300059819917,0.0555555555555556,0.111111111111111,629.741217468033,21.360782854178,1.55007099703431e-05,13
"L","4.5","fc.L_rm.4.5",0.853462645190722,0.922,0.102874376640036,0.0977531429604223,0.810031172871998,0.127870330241823,0.38625,0.589030488741174,0.25,0.429134452824314,0.0833333333333333,0.166666666666667,624.375732842892,15.9952982290374,0.000226700132046273,5
"LQ","4.5","fc.LQ_rm.4.5",0.853585465136681,0.858,0.0979839983156121,0.104345889771643,0.806095086032448,0.128081383498649,0.2865,0.477863648613981,0.222222222222222,0.374055738457855,0.0833333333333333,0.166666666666667,627.94362995569,19.5631953418348,3.80796334308473e-05,6
"LQP","4.5","fc.LQP_rm.4.5",0.863171269490356,0.861,0.100277612068327,0.07365576157572,0.850968230573979,0.116523040027649,0.51625,0.513185070580455,0.138888888888889,0.277777777777778,0.0833333333333333,0.166666666666667,626.181655386126,17.801220772271,9.18968606583018e-05,5
"LQH","4.5","fc.LQH_rm.4.5",0.899075633692435,0.894,0.0601905463733025,0.0830538317026964,0.847353815021464,0.0863350650463186,0.47425,0.519575708310797,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222,634.356010081759,25.9755754679046,1.54263118556832e-06,13
"LQHP","4.5","fc.LQHP_rm.4.5",0.901169421342597,0.889,0.0419966234262476,0.0615455585791639,0.857781813290288,0.0700683282582158,0.634,0.161197601305561,0.138888888888889,0.166666666666667,0.0555555555555556,0.111111111111111,624.042259008651,15.6618243947959,0.000267833376346314,11
"L","5","fc.L_rm.5",0.852351417108234,0.921,0.102763253831787,0.104144801620208,0.806510334421167,0.127915659766166,0.34725,0.603080080365231,0.25,0.429134452824314,0.0833333333333333,0.166666666666667,625.246426667787,16.865992053932,0.000146684090131182,5
"LQ","5","fc.LQ_rm.5",0.852629224128856,0.861,0.099208298729301,0.107242897220252,0.804694353791627,0.129891486741599,0.29825,0.492696238399821,0.25,0.429134452824314,0.0833333333333333,0.166666666666667,629.000321251265,20.6198866374101,2.24509725912145e-05,6
"LQP","5","fc.LQP_rm.5",0.861650641588003,0.854,0.106047225243983,0.0750922076932872,0.851468283211098,0.120056641341458,0.469,0.517373495004657,0.138888888888889,0.277777777777778,0.0833333333333333,0.166666666666667,627.848852387378,19.4684177735236,3.99276221062009e-05,5
"LQH","5","fc.LQH_rm.5",0.895209729679147,0.894,0.062932063024178,0.0848496016925792,0.846951725912669,0.0890569838801444,0.49025,0.624779627815547,0.111111111111111,0.222222222222222,0.111111111111111,0.222222222222222,623.807590421907,15.4271558080518,0.000301177367041399,10
"LQHP","5","fc.LQHP_rm.5",0.897674901451615,0.853,0.0455720485197272,0.063221463515187,0.856129592588694,0.0712114063798652,0.628,0.151501375131273,0.138888888888889,0.166666666666667,0.0555555555555556,0.111111111111111,623.283329975364,14.9028953615087,0.000391438953591547,10
